CR Product Directory Entry Instance Record	Product Directory Entry						CR Product Directory Entry Initiate	CR Product Directory Entry Update	CR Product Directory Entry Request	CR Product Directory Entry Retrieve	BQ Operations Initiate	BQ Operations Update	BQ Operations Request	BQ Operations Retrieve	BQ Sales and Marketing Initiate	BQ Sales and Marketing Update	BQ Sales and Marketing Request	BQ Sales and Marketing Retrieve	BQ Servicing Initiate	BQ Servicing Update	BQ Servicing Request	BQ Servicing Retrieve	BQ Production Initiate	BQ Production Update	BQ Production Request	BQ Production Retrieve
Mandatory		Sales and Marketing Instance Reference				Reference to the Sales and Marketing instance																				
Initiate		Sales and Marketing Initiate Action Reference				Reference to an Initiate service call									O											
Initiate		Sales and Marketing Initiate Action Record				The Initiate service call input and output record									I/O											
Initiate		Sales and Marketing Instance Status				The status of the Sales and Marketing instance (e.g. initialised, pending, active)									O											
		Sales and Marketing Instance Record	##			Sales and marketing materials referenced in business development									I	IO	IO	O								
			Product/Service Sales Material			 Descriptive materials/brochures organized for selective access									I	IO	IO	O								
			Product/Services Features & Options 			Descriptions of product features and product options for review									I	IO	IO	O								
			Product/Service Pricing Table			Allowed price/rate ranges by credit grade/customer type (can be reviewed through simulation)									I	IO	IO	O								
			Product/Service Fees/Penalties Table			Applicable fees/penalties (can be reviewed through simulation)									I	IO	IO	O								
			Product Suitability Guide 			Defines suitability requirements set by the bank									I	IO	IO	O								
			Product/Service Eligibility Type 			Applicable legal or regulatory requirements governing eligibility									I	IO	IO	O								
			Product/Service Eligibility Description			Description/explanation of eligibility requirements, can include required disclosures									I	IO	IO	O								
			Product/Service Offer Processing Requirements			Details the tasks required to complete a customer offer									I	IO	IO	O								
Update		Sales and Marketing Update Action Task Reference				Reference to an update service call										O										
Update		Sales and Marketing Update Action Task Record				The update service call consolidated processing record										I/O										
Update		Sales and Marketing Update Action Request				Details of the update action service request										I										
Update		Update Response Record				Details of the Update action service response										O										
Request		Sales and Marketing Request Action Task Reference				Reference to a Sales and Marketing instance request service call											O									
Request		Sales and Marketing Request Action Task Record				The request service call consolidated processing record											I/O									
Request		Sales and Marketing Request Record Reference				Reference to the Sales and Marketing service request record											O									
Request		Request Record Type	##			Request service record type (e.g. reworking, refresh, workstep)											I									
Request			Request Input Record			Request service record (e.g. rework function, refresh record, process workstep)											I									
Request		Request Response Record				Details of the request action service response											O									
Retrieve		Sales and Marketing Retrieve Action Task Reference				Reference to a Sales and Marketing instance retrieve service call												O								
Retrieve		Sales and Marketing Retrieve Action Task Record				The retrieve service call consolidated processing record												I/O								
Retrieve		Sales and Marketing Retrieve Action Request				Details of the retrieve action service request (lists requested reports)												I								
Retrieve		Sales and Marketing Retrieve Action Response				Details of the retrieve action service response (lists returned reports)												O								
Retrieve		Sales and Marketing Instance Report	##			A specific Sales and Marketing instance formatted report												IO								
Retrieve			Sales and Marketing Instance Report Reference			Reference to the control record instance report												I								
Retrieve			Sales and Marketing Instance Report Record			The input information used to assemble the report that can be on-going, periodic and actual and projected												O								
Retrieve			Sales and Marketing Instance Report Type			The type of external report available												O								
Retrieve			Sales and Marketing Instance Report Parameters			The selection parameters for the report (e.g. period, content type)												O								
Retrieve			Sales and Marketing Instance Report			The external report in any suitable form including selection filters where appropriate												O								
Retrieve		Sales and Marketing Instance Analysis	##			A specific Sales and Marketing instance analytical report												IO								
Retrieve			Sales and Marketing Instance Analysis Reference			Reference to the control record instance analysis view												I								
Retrieve			Sales and Marketing Instance Analysis Record			The inputs and results of the instance analysis that can be on-going, periodic and actual and projected												O								
Retrieve			Sales and Marketing Instance Analysis Report Type			The type of external performance analysis report available												O								
Retrieve			Sales and Marketing Instance Analysis Parameters			The selection parameters for the analysis (e.g. period, algorithm type)												O								
Retrieve			Sales and Marketing Instance Analysis Report			The external analysis report in any suitable form including selection filters where appropriate												O								
BQ Servicing Instance Record	Servicing																									
Mandatory		Product Directory Entry Instance Reference				Reference to the parent Product Directory Entry instance																				
Mandatory		Servicing Instance Reference				Reference to the Servicing instance																				
Initiate		Servicing Initiate Action Reference				Reference to an Initiate service call													O							
Initiate		Servicing Initiate Action Record				The Initiate service call input and output record													I/O							
Initiate		Servicing Instance Status				The status of the Servicing instance (e.g. initialised, pending, active)													O							
		Servicing Instance Record	##			Servicing guidelines associated with different features of the product or service													I	IO	IO	O				
			Product/Service Feature			Selectable product or service feature associated with servicing a product or service													I	IO	IO	O				
			Product/Service Feature Guideline 			Explanation/guidelines for the product or service feature (can be assisted or self serve)													I	IO	IO	O				
			Product/Service Feature Problem Diagnosis 			Diagnosis guide for addressing reported issues with a product or service feature													I	IO	IO	O				
			Product/Service Feature Problem Resolution			Resolution guide for resolving reported issue with a product or service feature													I	IO	IO	O				
Update		Servicing Update Action Task Reference				Reference to an update service call														O						
Update		Servicing Update Action Task Record				The update service call consolidated processing record														I/O						
Update		Servicing Update Action Request				Details of the update action service request														I						
Update		Update Response Record				Details of the Update action service response														O						
Request		Servicing Request Action Task Reference				Reference to a Servicing instance request service call															O					
Request		Servicing Request Action Task Record				The request service call consolidated processing record															I/O					
Request		Servicing Request Record Reference				Reference to the Servicing service request record															O					
Request		Request Record Type	##			Request service record type (e.g. reworking, refresh, workstep)															I					
Request			Request Input Record			Request service record (e.g. rework function, refresh record, process workstep)															I					
Request		Request Response Record				Details of the request action service response															O					
Retrieve		Servicing Retrieve Action Task Reference				Reference to a Servicing instance retrieve service call																O				
Retrieve		Servicing Retrieve Action Task Record				The retrieve service call consolidated processing record																I/O				
Retrieve		Servicing Retrieve Action Request				Details of the retrieve action service request (lists requested reports)																I				
Retrieve		Servicing Retrieve Action Response				Details of the retrieve action service response (lists returned reports)																O				
Retrieve		Servicing Instance Report	##			A specific Servicing instance formatted report																IO				
Retrieve			Servicing Instance Report Reference			Reference to the control record instance report																I				
Retrieve			Servicing Instance Report Record			The input information used to assemble the report that can be on-going, periodic and actual and projected																O				
Retrieve			Servicing Instance Report Type			The type of external report available																O				
Retrieve			Servicing Instance Report Parameters			The selection parameters for the report (e.g. period, content type)																O				
Retrieve			Servicing Instance Report			The external report in any suitable form including selection filters where appropriate																O				
Retrieve		Servicing Instance Analysis	##			A specific Servicing instance analytical report																IO				
Retrieve			Servicing Instance Analysis Reference			Reference to the control record instance analysis view																I				
Retrieve			Servicing Instance Analysis Record			The inputs and results of the instance analysis that can be on-going, periodic and actual and projected																O				
Retrieve			Servicing Instance Analysis Report Type			The type of external performance analysis report available																O				
Retrieve			Servicing Instance Analysis Parameters			The selection parameters for the analysis (e.g. period, algorithm type)																O				
Retrieve			Servicing Instance Analysis Report			The external analysis report in any suitable form including selection filters where appropriate																O				
BQ Production Instance Record	Production																									
Mandatory		Product Directory Entry Instance Reference				Reference to the parent Product Directory Entry instance																				
Mandatory		Production Instance Reference				Reference to the Production instance																				
Initiate		Production Initiate Action Reference				Reference to an Initiate service call																	O			
Initiate		Production Initiate Action Record				The Initiate service call input and output record																	I/O			
Initiate		Production Instance Status				The status of the Production instance (e.g. initialised, pending, active)																	O			
		Production Instance Record	##			Key production details associated with the product or service																	I	IO	IO	O
			Product/Service Location Availability			List and description of locations where the product or service is supported																	I	IO	IO	O
			Product/Service Time Availability			The schedule for when the product or service can be accessed																	I	IO	IO	O
			Product/Service Access Availability			The access channels and devices that are supported by the product or service																	I	IO	IO	O
Update		Production Update Action Task Reference				Reference to an update service call																		O		
Update		Production Update Action Task Record				The update service call consolidated processing record																		I/O		
Update		Production Update Action Request				Details of the update action service request																		I		
Update		Update Response Record				Details of the Update action service response																		O		
Request		Production Request Action Task Reference				Reference to a Production instance request service call																			O	
Request		Production Request Action Task Record				The request service call consolidated processing record																			I/O	
Request		Production Request Record Reference				Reference to the Production service request record																			O	
Request		Request Record Type	##			Request service record type (e.g. reworking, refresh, workstep)																			I	
Request			Request Input Record			Request service record (e.g. rework function, refresh record, process workstep)																			I	
Request		Request Response Record				Details of the request action service response																			O	
Retrieve		Production Retrieve Action Task Reference				Reference to a Production instance retrieve service call																				O
Retrieve		Production Retrieve Action Task Record				The retrieve service call consolidated processing record																				I/O
Retrieve		Production Retrieve Action Request				Details of the retrieve action service request (lists requested reports)																				I
Retrieve		Production Retrieve Action Response				Details of the retrieve action service response (lists returned reports)																				O
Retrieve		Production Instance Report	##			A specific Production instance formatted report																				IO
Retrieve			Production Instance Report Reference			Reference to the control record instance report																				I
Retrieve			Production Instance Report Record			The input information used to assemble the report that can be on-going, periodic and actual and projected																				O
Retrieve			Production Instance Report Type			The type of external report available																				O
Retrieve			Production Instance Report Parameters			The selection parameters for the report (e.g. period, content type)																				O
Retrieve			Production Instance Report			The external report in any suitable form including selection filters where appropriate																				O
Retrieve		Production Instance Analysis	##			A specific Production instance analytical report																				IO
Retrieve			Production Instance Analysis Reference			Reference to the control record instance analysis view																				I
Retrieve			Production Instance Analysis Record			The inputs and results of the instance analysis that can be on-going, periodic and actual and projected																				O
Retrieve			Production Instance Analysis Report Type			The type of external performance analysis report available																				O
Retrieve			Production Instance Analysis Parameters			The selection parameters for the analysis (e.g. period, algorithm type)																				O
Retrieve			Production Instance Analysis Report			The external analysis report in any suitable form including selection filters where appropriate																				O
